Shipping_Country,Shipping_State,Shipping_City,City_Join_Key,State_Join_Key,order_weight,revenue_weight,level
US,Delaware,Newark,newark,delaware,0.001030776027094684,0.0012389636187975193,country
US,Massachusetts,Berkley,berkley,massachusetts,0.0028959897904088745,0.00120920173823258,country
US,Florida,Miami,miami,florida,0.0013743680361262456,0.0011946974963109307,country
US,Arkansas,Rogers,rogers,arkansas,0.001128945172532273,0.0011845889719522325,country
US,West Virginia,Morgantown,morgantown,west virginia,0.0009816914543758896,0.0011788544846752873,country
US,Iowa,Cedar Rapids,cedar rapids,iowa,0.0009816914543758896,0.0011494340716892211,country
US,Delaware,New Castle,new castle,delaware,0.0014725371815638344,0.001142729382878653,country
US,Idaho,Meridian,meridian,idaho,0.0009816914543758896,0.0011394610503380124,country
US,New Mexico,Santa Fe,santa fe,new mexico,0.001030776027094684,0.0011366317475416366,country
US,Alabama,Fairhope,fairhope,alabama,0.0009326068816570952,0.0011342902555722223,country
US,Oregon,Salem,salem,oregon,0.001227114317969862,0.001132696740204149,country
US,Washington,Spokane,spokane,washington,0.001128945172532273,0.001120187102552741,country
US,Hawaii,Kaneohe,kaneohe,hawaii,0.0010798605998134786,0.0011180895159968074,country
US,Arkansas,Fayetteville,fayetteville,arkansas,0.001227114317969862,0.0010891189729956058,country
US,Arkansas,Jonesboro,jonesboro,arkansas,0.002208805772345752,0.0010878018837628101,country
US,Michigan,Macomb,macomb,michigan,0.001128945172532273,0.0010809400114635544,country
US,Delaware,Lewes,lewes,delaware,0.001030776027094684,0.0010637419697530185,country
US,Indiana,West Lafayette,west lafayette,indiana,0.001227114317969862,0.0010585765951075285,country
US,Nebraska,Lincoln,lincoln,nebraska,0.0009816914543758896,0.0010560020379652326,country
US,Utah,South Jordan,south jordan,utah,0.0008344377362195062,0.0010525602615750057,country
US,Maine,Portland,portland,maine,0.0010798605998134786,0.0010501754086431948,country
US,Hawaii,Mililani,mililani,hawaii,0.0011780297452510676,0.001034240254962459,country
US,New York,Brooklyn,brooklyn,new york,0.001227114317969862,0.0010279637556555568,country
US,New Hampshire,Nashua,nashua,new hampshire,0.0009326068816570952,0.0009946625365349984,country
US,Oklahoma,Broken Arrow,broken arrow,oklahoma,0.001030776027094684,0.000986169208025572,country
US,Kentucky,Paducah,paducah,kentucky,0.0007362685907819172,0.0009611824534445541,country
US,New Hampshire,Manchester,manchester,new hampshire,0.0010798605998134786,0.0009611336723618581,country
US,Minnesota,Eden Prairie,eden prairie,minnesota,0.0007853531635007117,0.000947166022349866,country
CA,British Columbia,North Vancouver,north vancouver,british columbia,0.03475513428120063,0.033200900067856136,country
US,Rhode Island,Barrington,barrington,rhode island,0.0008835223089383007,0.0009141954305675815,country
US,Illinois,Chicago,chicago,illinois,0.0008344377362195062,0.0008933984289781311,country
CA,Alberta,Edmonton,edmonton,alberta,0.030015797788309637,0.031228095757776356,country
US,Mississippi,Madison,madison,mississippi,0.0008344377362195062,0.0008630349150599398,country
US,Alaska,Anchorage,anchorage,alaska,0.0008344377362195062,0.000846568589589846,country
US,Idaho,Kuna,kuna,idaho,0.00039267658175035585,0.0008464330865823568,country
US,New Mexico,Las Cruces,las cruces,new mexico,0.0005890148726255338,0.0008281347604510083,country
CA,British Columbia,Victoria,victoria,british columbia,0.030015797788309637,0.029424642462973275,country
US,Kansas,Lawrence,lawrence,kansas,0.0008344377362195062,0.0008094190850565928,country
US,Utah,Park City,park city,utah,0.0007362685907819172,0.0008012184430433434,country
US,Iowa,Iowa City,iowa city,iowa,0.0008344377362195062,0.0008002374012691212,country
US,Kentucky,Bowling Green,bowling green,kentucky,0.0007362685907819172,0.0007913104631357294,country
US,Wisconsin,Whitefish Bay,whitefish bay,wisconsin,0.0006871840180631228,0.0007756950965526681,country
US,Wisconsin,Waukesha,waukesha,wisconsin,0.0006871840180631228,0.0007623019792924304,country
US,North Dakota,Fargo,fargo,north dakota,0.0006380994453443283,0.0007607464047664537,country
US,Mississippi,Gulfport,gulfport,mississippi,0.0006871840180631228,0.0007529956327380687,country
US,Minnesota,Minnetonka,minnetonka,minnesota,0.0008344377362195062,0.0007391526454929668,country
US,Montana,Billings,billings,montana,0.0005890148726255338,0.0007377271538541797,country
US,Kansas,Leawood,leawood,kansas,0.0007853531635007117,0.0007173637618886951,country
US,Iowa,Des Moines,des moines,iowa,0.0007853531635007117,0.0007062741957557748,country
US,Wisconsin,Appleton,appleton,wisconsin,0.0006380994453443283,0.0007035532953653907,country
US,South Dakota,Sioux Falls,sioux falls,south dakota,0.0005890148726255338,0.0007034503130796988,country
UK,England,Bristol,bristol,england,0.047619047619047616,0.07896791643464267,country
US,Maine,Scarborough,scarborough,maine,0.0006380994453443283,0.0006976020032764627,country
US,Utah,Sandy,sandy,utah,0.0005890148726255338,0.0006803985414456274,country
US,Nebraska,Elkhorn,elkhorn,nebraska,0.0005890148726255338,0.0006790868723331315,country
US,New Hampshire,Hampton,hampton,new hampshire,0.0005890148726255338,0.0006767779010855146,country
US,West Virginia,Wheeling,wheeling,west virginia,0.00039267658175035585,0.0006619701324270892,country
US,New Hampshire,Portsmouth,portsmouth,new hampshire,0.0005890148726255338,0.0005999205952376113,country
US,Iowa,West Des Moines,west des moines,iowa,0.0005890148726255338,0.0005999043348767126,country
US,Iowa,Ames,ames,iowa,0.0005890148726255338,0.0005543753243603242,country
US,Wyoming,Cheyenne,cheyenne,wyoming,0.0004908457271879448,0.000544884693715777,country
US,Vermont,South Burlington,south burlington,vermont,0.0002945074363127669,0.0005385377328449805,country
US,West Virginia,Huntington,huntington,west virginia,0.0004908457271879448,0.0005381637445443101,country
US,Montana,Bozeman,bozeman,montana,0.0006380994453443283,0.0005332964765152962,country
