Date,Region,Type,Value,Lat,Lon
2024-03-18,CAN,sales_revenue,264.74,,
2024-03-18,CAN,sales_units,4.0,,
2024-03-18,US,sales_revenue,7115.84,,
2024-03-18,US,sales_units,104.0,,
2024-03-19,US,sales_revenue,4561.0,,
2024-03-19,US,sales_units,66.0,,
2024-03-20,US,sales_revenue,7098.0,,
2024-03-20,US,sales_units,112.0,,
2024-03-21,US,sales_revenue,4853.9400000000005,,
2024-03-21,US,sales_units,82.0,,
2024-03-22,CAN,sales_revenue,130.88,,
2024-03-22,CAN,sales_units,2.0,,
2024-03-22,US,sales_revenue,5949.34,,
2024-03-22,US,sales_units,88.0,,
2024-03-23,US,sales_revenue,17982.44,,
2024-03-23,US,sales_units,264.0,,
2024-03-24,CAN,sales_revenue,136.78,,
2024-03-24,CAN,sales_units,2.0,,
2024-03-24,US,sales_revenue,11714.84,,
2024-03-24,US,sales_units,164.0,,
2024-03-25,CAN,sales_revenue,131.26,,
2024-03-25,CAN,sales_units,2.0,,
2024-03-25,UK,sales_revenue,138.0,,
2024-03-25,UK,sales_units,2.0,,
2024-03-25,US,sales_revenue,10882.0,,
2024-03-25,US,sales_units,174.0,,
2024-03-26,CAN,sales_revenue,133.04,,
2024-03-26,CAN,sales_units,2.0,,
2024-03-26,US,sales_revenue,11436.68,,
2024-03-26,US,sales_units,170.0,,
2024-03-27,US,sales_revenue,7918.06,,
2024-03-27,US,sales_units,134.0,,
2024-03-28,US,sales_revenue,13159.82,,
2024-03-28,US,sales_units,194.0,,
2024-03-29,US,sales_revenue,10808.66,,
2024-03-29,US,sales_units,156.0,,
2024-03-30,CAN,sales_revenue,187.28,,
2024-03-30,CAN,sales_units,2.0,,
2024-03-30,US,sales_revenue,11091.3,,
2024-03-30,US,sales_units,156.0,,
2024-03-31,CAN,sales_revenue,128.94,,
2024-03-31,CAN,sales_units,2.0,,
2024-03-31,US,sales_revenue,10398.76,,
2024-03-31,US,sales_units,146.0,,
2024-04-01,CAN,sales_revenue,138.0,,
2024-04-01,CAN,sales_units,2.0,,
2024-04-01,US,sales_revenue,12701.94,,
2024-04-01,US,sales_units,186.0,,
2024-04-02,US,sales_revenue,22823.52,,
2024-04-02,US,sales_units,320.0,,
2024-04-03,US,sales_revenue,25675.9,,
2024-04-03,US,sales_units,358.0,,
2024-04-04,US,sales_revenue,18483.02,,
2024-04-04,US,sales_units,268.0,,
2024-04-05,US,sales_revenue,11672.3,,
2024-04-05,US,sales_units,162.0,,
2024-04-06,CAN,sales_revenue,460.56,,
2024-04-06,CAN,sales_units,6.0,,
2024-04-06,US,sales_revenue,9213.02,,
2024-04-06,US,sales_units,132.0,,
2024-04-07,CAN,sales_revenue,265.0,,
2024-04-07,CAN,sales_units,4.0,,
2024-04-07,US,sales_revenue,10517.44,,
2024-04-07,US,sales_units,154.0,,
2024-04-08,CAN,sales_revenue,137.18,,
2024-04-08,CAN,sales_units,2.0,,
2024-04-08,US,sales_revenue,7086.12,,
2024-04-08,US,sales_units,98.0,,
2024-04-09,US,sales_revenue,8836.72,,
2024-04-09,US,sales_units,118.0,,
2024-04-10,US,sales_revenue,8124.22,,
2024-04-10,US,sales_units,110.0,,
2024-04-11,CAN,sales_revenue,263.38,,
2024-04-11,CAN,sales_units,4.0,,
2024-04-11,US,sales_revenue,11103.36,,
2024-04-11,US,sales_units,158.0,,
2024-04-12,CAN,sales_revenue,280.05999999999995,,
2024-04-12,CAN,sales_units,4.0,,
2024-04-12,US,sales_revenue,19134.38,,
2024-04-12,US,sales_units,262.0,,
2024-04-13,CAN,sales_revenue,184.1,,
2024-04-13,CAN,sales_units,2.0,,
2024-04-13,US,sales_revenue,9325.36,,
2024-04-13,US,sales_units,126.0,,
2024-04-14,CAN,sales_revenue,135.28,,
2024-04-14,CAN,sales_units,2.0,,
2024-04-14,US,sales_revenue,11551.3,,
2024-04-14,US,sales_units,158.0,,
2024-04-15,US,sales_revenue,7811.52,,
2024-04-15,US,sales_units,104.0,,
2024-04-16,US,sales_revenue,20057.44,,
2024-04-16,US,sales_units,286.0,,
2024-04-17,CAN,sales_revenue,560.24,,
2024-04-17,CAN,sales_units,8.0,,
2024-04-17,US,sales_revenue,11105.82,,
2024-04-17,US,sales_units,148.0,,
2024-04-18,CAN,sales_revenue,270.4,,
2024-04-18,CAN,sales_units,4.0,,
2024-04-18,US,sales_revenue,8026.559999999999,,
2024-04-18,US,sales_units,112.0,,
2024-04-19,CAN,sales_revenue,134.9,,
2024-04-19,CAN,sales_units,2.0,,
2024-04-19,US,sales_revenue,6267.0,,
2024-04-19,US,sales_units,94.0,,
2024-04-20,CAN,sales_revenue,134.9,,
2024-04-20,CAN,sales_units,2.0,,
2024-04-20,US,sales_revenue,9756.64,,
2024-04-20,US,sales_units,138.0,,
2024-04-21,US,sales_revenue,10931.7,,
2024-04-21,US,sales_units,154.0,,
