Date,Region,City,State,Lat,Lon,Umbrella_Revenue,Umbrella_Units,Non_Umbrella_Revenue,Non_Umbrella_Units,Observed_Precip_In,Is_Rainy,Verified_Match
2026-09-03,US,Madison,Mississippi,32.4618,-90.1154,17.21,0,0.0,0.0,0.1023622047244094,False,False
2026-09-03,US,Madison,South Dakota,44.0061,-97.114,2.91,0,0.0,0.0,0.0,False,False
2026-09-03,US,Madison,Wisconsin,43.073,-89.4012,47.65,0,0.0,0.0,0.1850393700787401,False,False
2026-09-03,US,Manchester,New Hampshire,42.9956,-71.4548,19.46,0,0.0,0.0,0.0944881889763779,False,False
2026-09-03,US,Marietta,Georgia,33.9526,-84.5499,129.9,0,0.0,0.0,0.0944881889763779,False,False
2026-09-03,US,Memphis,Tennessee,35.1495,-90.049,73.9,0,0.0,0.0,0.0039370078740157,False,False
2026-09-03,US,Meridian,Idaho,43.6121,-116.3915,22.68,0,0.0,0.0,0.3031496062992126,True,True
2026-09-03,US,Mesa,Arizona,33.4223,-111.8226,31.88,0,0.0,0.0,0.0669291338582677,False,False
2026-09-03,US,Metairie,Louisiana,29.9841,-90.1528,34.46,0,0.0,0.0,0.1259842519685039,False,False
2026-09-03,US,Miami,Florida,25.7743,-80.1937,624.87,13,0.0,0.0,0.2913385826771654,True,True
2026-09-03,US,Middlesboro,Kentucky,36.6084,-83.7166,5.24,0,0.0,0.0,0.0,False,False
2026-09-03,US,Middletown,Delaware,39.4496,-75.7163,11.06,0,0.0,0.0,0.7480314960629921,True,True
2026-09-03,US,Mililani,Hawaii,21.4504,-158.015,20.65,0,0.0,0.0,0.0551181102362204,False,False
2026-09-03,US,Milwaukee,Wisconsin,43.0389,-87.9065,59.93,0,0.0,0.0,0.4094488188976378,True,True
2026-09-03,US,Minneapolis,Minnesota,44.98,-93.2638,120.69,0,0.0,0.0,0.5905511811023622,True,True
2026-09-03,US,Minnetonka,Minnesota,44.9133,-93.5033,15.59,0,0.0,0.0,0.1535433070866141,False,False
2026-09-03,US,Missoula,Montana,46.8722,-113.994,6.5,0,0.0,0.0,0.1535433070866141,False,False
2026-09-03,US,Mobile,Alabama,30.6944,-88.043,37.52,0,0.0,0.0,0.1062992125984252,False,False
2026-09-03,US,Morgantown,West Virginia,39.6295,-79.9559,23.580000000000002,0,0.0,0.0,0.3385826771653543,True,True
2026-09-03,US,Morristown,New Jersey,40.7968,-74.4815,46.85,0,0.0,0.0,0.4409448818897637,True,True
2026-09-03,US,Mount Pleasant,South Carolina,32.7941,-79.8626,48.71,0,0.0,0.0,0.0354330708661417,False,False
2026-09-03,US,Myrtle Beach,South Carolina,33.6891,-78.8867,56.87,0,0.0,0.0,0.0,False,False
2026-09-03,US,Naperville,Illinois,41.7859,-88.1473,69.9,0,0.0,0.0,0.2834645669291338,True,True
2026-09-03,US,Naples,Florida,26.1423,-81.796,175.96,0,0.0,0.0,0.2047244094488189,True,True
2026-09-03,US,Nashua,New Hampshire,42.7654,-71.4676,19.82,0,0.0,0.0,0.0472440944881889,False,False
2026-09-03,US,Nashville,Tennessee,36.1659,-86.7844,163.61,1,0.0,0.0,0.0118110236220472,False,False
2026-09-03,US,New Canaan,Connecticut,41.1468,-73.4948,38.53,0,0.0,0.0,0.3503937007874015,True,True
2026-09-03,US,New Castle,Delaware,39.6595,-75.5636,22.76,0,0.0,0.0,0.968503937007874,True,True
2026-09-03,US,New Orleans,Louisiana,29.9546,-90.0751,74.41,0,0.0,0.0,0.1259842519685039,False,False
